flag_scope,flag_type,flag_key
creators,scam,yogg
items,stolen,2018BTCC-0-1-VSERIES-W00294
series,compromised,polymerbit-10y-anniversary-note
items,stolen,CASASCIUS-FINE-SILVER-1AgbCTCCBQ
items,stolen,S2-2013-CASASCIUS-0-5-12DcCova9i
items,stolen,2022RARITYCHECK-VIBGYOR-ORANGE-SILVER-121
items,stolen,CASASCIUS-FINE-SILVER-1Ag4iRiKBQ
items,stolen,2022-1HODLCLUB-GOLD-POKER-CHIP-1
items,stolen,2022-1HODLCLUB-GOLD-POKER-CHIP-2
items,stolen,2022-1HODLCLUB-GOLD-POKER-CHIP-3
items,stolen,2022-1HODLCLUB-1OZ-SILVER-INGOT-1ozBTCk5VkCzkrdwzoXd
items,stolen,2022MYBITS-SERIES-2-GILT-3
items,stolen,2022MYBITS-SERIES-2-GILT-4
items,stolen,2022MYBITS-SERIES-2-GILT-5
items,stolen,2022MYBITS-SERIES-2-GILT-6
items,stolen,2022MYBITS-SERIES-2-GILT-7
items,stolen,2022MYBITS-SERIES-2-GILT-8
items,stolen,2022MYBITS-SERIES-2-GILT-9
items,stolen,2022MYBITS-SERIES-2-GILT-10
items,stolen,2022MYBITS-SERIES-2-GILT-11
items,stolen,2022MYBITS-SERIES-2-GILT-12
items,stolen,2022MYBITS-SERIES-2-GILT-13
items,stolen,2022MYBITS-SERIES-2-GILT-14
items,stolen,2022MYBITS-SERIES-2-GILT-15
items,stolen,2022MYBITS-SERIES-2-GILT-16
items,stolen,2022MYBITS-SERIES-2-GILT-17
items,stolen,2022MYBITS-SERIES-2-GILT-18
items,stolen,2022MYBITS-SERIES-2-GILT-19
items,stolen,2022MYBITS-SERIES-2-GILT-20
items,stolen,2022MYBITS-SERIES-2-GILT-21
items,stolen,2022MYBITS-SERIES-2-GILT-22
items,stolen,2022MYBITS-SERIES-2-GILT-23
items,stolen,2022MYBITS-SERIES-2-GILT-24
items,stolen,2022MYBITS-SERIES-2-GILT-25
items,stolen,2022MYBITS-SERIES-2-GILT-26
items,stolen,2022MYBITS-SERIES-2-GILT-27
items,stolen,2022MYBITS-SERIES-2-GILT-28
items,stolen,2022MYBITS-SERIES-2-GILT-29
items,stolen,2022MYBITS-SERIES-2-GILT-30
items,stolen,2022MYBITS-SERIES-2-GILT-31
items,stolen,2022MYBITS-SERIES-2-GILT-32
items,stolen,2022MYBITS-SERIES-2-GILT-33
items,stolen,2022MYBITS-SERIES-2-GILT-34
items,stolen,2022MYBITS-SERIES-2-GILT-35
